#OTU_ID,DD10_2,DD20_1,DD20_6,DD20_3,DD20_4,DD20_5,DD10_4,DD10_3,DD10_1,DD20_2,DD10_5,DD10_6
OTU159617,2,4,1,0,0,1,1,2,4,2,1,1
OTU328810,1,1,1,0,1,3,2,2,1,1,1,2
OTU369241,1,1,0,0,1,4,1,1,0,2,2,1
OTU113347,3,3,5,4,3,5,3,3,4,3,4,4
OTU4374731,1,0,0,0,0,0,0,1,0,0,1,1
OTU2307130,4,4,3,5,5,1,7,5,2,4,5,2
OTU3259009,7,1,3,0,0,0,2,3,8,0,1,1
OTU251133,8,9,13,9,9,13,9,13,10,9,12,12
OTU358590,1,1,0,1,1,1,2,3,2,2,2,1
OTU209238,2,0,0,0,0,0,1,0,1,0,1,1
OTU2216508,11,10,8,8,10,3,23,18,12,9,6,11
OTU248032,10,4,12,10,9,7,8,7,10,6,4,7
OTU204422,11,11,1,9,9,4,10,8,11,9,7,6
OTU209415,4,4,4,4,5,0,3,3,6,5,6,5
OTU219551,1,0,1,2,0,1,1,2,2,1,2,2
OTU4306132,20,14,38,12,13,36,43,46,18,12,40,37
OTU224548,5,6,0,3,2,1,5,3,4,5,6,6
OTU239437,12,15,9,9,10,20,20,15,12,14,9,15
OTU222163,1,0,3,0,1,3,1,1,2,1,2,1
OTU4361133,10,12,5,8,7,8,11,10,13,13,12,12
OTU2300392,4,2,5,3,3,5,3,3,2,3,5,2
OTU136025,0,0,0,0,0,0,2,2,1,0,5,4
OTU214791,1,2,8,5,2,3,0,1,2,2,1,1
OTU4331815,2,3,1,1,2,3,5,6,2,3,1,2
OTU215928,4,5,0,1,2,0,3,1,3,5,5,3
OTU226012,1,1,0,2,1,1,0,0,2,1,1,1
OTU211600,1,0,0,0,0,0,2,1,1,0,1,1
OTU226718,3,5,0,3,2,1,3,4,8,4,6,6
OTU219702,2,0,1,0,1,1,5,6,0,1,1,1
OTU361764,2,2,0,2,3,1,2,3,1,3,2,3
OTU238412,1,3,0,2,4,0,3,2,1,2,2,1
OTU1012668,1,2,4,0,0,3,1,0,0,2,1,1
OTU216805,0,0,0,0,0,0,0,0,2,0,1,1
OTU205635,13,12,17,11,11,11,10,16,11,11,14,17
